,USER_ID,FIRST_NAME,LAST_NAME,GENDER,EMAIL,PHONE_NUMBER,NATIONALITY,BIRTH_DATE
0,"04d47ac6-9f75-4975-a1e0-bdf0d603f713
",MDRkNDdhY,zYtOWY3NS0,F,MDRkNDdhY.zYtOWY3NS0@gmail.com,+8507405775682,KP,03/01/1971
1,"08222a83-0c5d-4cfc-a6c5-9575311ceb90
",MDgyMjJhODM,tMGM1ZC00Y2,F,MDgyMjJhODM.tMGM1ZC00Y2@gmail.com,+2539340216238,DJ,06/30/1968
2,"0db87c03-93b8-4de1-94bd-0c4ff50e644a
",MGRiODdjM,DMtOTNiOC,M,MGRiODdjM.DMtOTNiOC@gmail.com,+8806470009202,BD,05/17/1998
3,"12e0a919-0b3e-4471-8faa-926fcc1f53ee
",MTJl,MGE5,M,MTJl.MGE5@gmail.com,+2292530976968,BJ,06/02/1975
4,"17126aaa-62ad-42f6-bf97-8e5897b89673
",MTcxMjZhYW,EtNjJhZC00,M,MTcxMjZhYW.EtNjJhZC00@gmail.com,+928997135679,PK,09/05/1987
5,"17f56392-6af0-47b2-b765-d858216e65d1
",MTdm,NTYzO,M,MTdm.NTYzO@gmail.com,+16643091869021,MS,05/31/1990
6,"19b85e39-01c2-43ef-9ae9-de6858339e56
",MTliODV,lMzktMD,F,MTliODV.lMzktMD@gmail.com,+2916476491140,ER,01/14/1963
7,"2457520d-1da9-4da5-b87d-d837f011897d
",MjQ1Nz,UyMGQtM,M,MjQ1Nz.UyMGQtM@gmail.com,+8556914835296,KH,04/24/1996
8,"28016f4a-8711-4202-a8a0-1703f69741a1
",Mjgw,MTZmN,M,Mjgw.MTZmN@gmail.com,+8556127184699,KH,03/10/1965
9,"2c4c6df8-c7b1-4a64-a7cd-2546f829b186
",MmM0Yz,ZkZjgt,M,MmM0Yz.ZkZjgt@gmail.com,+2358872274737,TD,10/09/1985
10,"2d73dd2c-c5b6-4996-8fdb-e2a9d69d3b91
",MmQ3M2,RkMmMt,M,MmQ3M2.RkMmMt@gmail.com,+5905280117410,MF,05/23/1984
11,"2fc40e8d-f77e-41e4-85d8-f2f3284e2f62
",MmZjNDBl,OGQtZjc3,F,MmZjNDBl.OGQtZjc3@gmail.com,+539710615955,CU,12/10/1969
12,"2fd93ab6-8ad9-4f03-8a0c-79811810ea59
",MmZkOTNhYj,YtOGFkOS00,F,MmZkOTNhYj.YtOGFkOS00@gmail.com,+8801472580963,BD,12/19/1964
13,"30fba7d2-8ee6-43f6-89a4-c685981c3675
",MzBmY,mE3ZDI,M,MzBmY.mE3ZDI@gmail.com,+2357719767785,TD,05/13/1974
14,"3806d4a4-dbe1-4adf-887b-39adbe0b8b15
",MzgwNmQ,0YTQtZG,M,MzgwNmQ.0YTQtZG@gmail.com,+5083681054728,PM,12/24/1977
15,"395a0867-040e-4a68-88b9-3c9aaa5b094a
",Mzk1Y,TA4Nj,M,Mzk1Y.TA4Nj@gmail.com,+3579986107706,CY,07/08/1980
16,"3cd57ffe-9ad1-449e-bfaf-e09a2aff7a23
",M2NkN,TdmZmU,F,M2NkN.TdmZmU@gmail.com,+5905578994549,BL,02/26/1979
